timestamp,run_id,condition,scenario,attempt,critique_satisfactory,rubric_feasibility,rubric_level_appropriateness,rubric_gap_coverage,rubric_composite,plan_phases,plan_actions_total,plan_timeline_weeks,action_specificity_ratio,resume_terms_mentioned,resume_terms_total
2026-04-24T14:43:01.103808,a6a288bc-843f-464f-8ec6-e00a602a4fa7,ablation3,scenario_3_backend,2,False,2,5,5,3.5,5,9,20,0.1411764705882353,12,85
2026-04-24T14:43:39.242736,4f614465-b0a5-4d6b-a9c6-c6002332cea8,ablation3,scenario_3_backend,3,False,2,5,5,3.5,5,9,20,0.12941176470588237,11,85
2026-04-24T14:44:16.476218,d97e7278-496a-4ac7-a535-2402bb2fceb5,ablation3,scenario_3_backend,4,False,5,5,5,5.0,4,8,16,0.11764705882352941,10,85
2026-04-24T14:44:41.874642,0481ad84-291b-45a2-b76e-475f712f2742,ablation3,scenario_3_backend,5,False,5,5,5,5.0,3,6,12,0.09411764705882353,8,85
2026-04-24T14:45:12.111357,ab062fdf-ed6c-4693-8890-f4275d8d9147,ablation3,scenario_3_backend,6,False,2,5,5,3.5,5,9,20,0.11764705882352941,10,85
2026-04-24T14:45:41.136742,b0f6597e-edb1-47ba-9a06-62b40916e208,ablation3,scenario_3_backend,7,False,5,5,5,5.0,4,8,16,0.11764705882352941,10,85
2026-04-24T14:46:03.152290,ea3e9085-467a-430d-b201-5cf37412778a,ablation3,scenario_3_backend,8,True,5,5,5,5.0,4,8,16,0.11764705882352941,10,85
2026-04-24T14:46:32.995235,f4a72705-5b12-4d4d-8195-7f580a955156,ablation3,scenario_3_backend,9,False,2,5,5,3.5,5,5,20,0.15294117647058825,13,85
2026-04-24T14:47:02.518256,0909d408-b8f2-4799-827b-039775c3e21d,ablation3,scenario_3_backend,10,False,5,5,5,5.0,4,8,16,0.11764705882352941,10,85
2026-04-24T14:47:32.539540,5b89c8ed-7db0-4ace-b5e8-c31ae031d6e6,ablation3,scenario_3_backend,11,False,2,5,5,3.5,5,9,20,0.11764705882352941,10,85
2026-04-24T14:47:59.005005,6b022e0f-afc4-4663-9def-c0d35b71ea03,ablation3,scenario_3_backend,12,False,2,5,5,3.5,5,9,20,0.12941176470588237,11,85
2026-04-24T14:48:29.418831,d9637181-3484-4522-a406-89ded605c415,ablation3,scenario_3_backend,13,False,5,5,5,5.0,4,4,16,0.10588235294117647,9,85
2026-04-24T14:48:57.311895,45f21470-037e-43be-9020-cb035e936a36,ablation3,scenario_3_backend,14,False,5,5,5,5.0,4,4,16,0.09411764705882353,8,85
2026-04-24T14:49:26.745122,97c5dd3d-ccc9-49b9-ad1b-ca82e215ff09,ablation3,scenario_3_backend,15,False,5,5,5,5.0,4,8,16,0.11764705882352941,10,85
2026-04-24T14:58:39.760470,bfe1a2b4-84fa-4f65-85df-b535c96df640,full,scenario_3_backend,2,True,5,5,4,5.0,3,5,16,0.12941176470588237,11,85
2026-04-24T15:00:58.327623,7a31a89e-4812-4168-acdb-aabca377aec1,full,scenario_3_backend,3,False,2,5,4,3.5,3,3,9,0.09411764705882353,8,85
2026-04-24T15:03:02.459796,7b789636-e3be-440a-8c29-60393bf05b55,full,scenario_3_backend,4,False,2,5,5,3.5,4,4,20,0.11764705882352941,10,85
2026-04-24T15:04:13.832158,8aa4ae1f-f6b5-49d4-82a3-c59e0d88f889,full,scenario_3_backend,5,True,5,5,4,5.0,3,3,9,0.11764705882352941,10,85
2026-04-24T15:05:35.661634,b4cb01f8-41fd-40e9-b562-e2c62bcdd1ab,full,scenario_3_backend,6,True,5,5,4,5.0,4,4,16,0.1411764705882353,12,85
2026-04-24T15:06:52.784928,9532e0c4-c4d2-4aa8-9803-13b67f7f6a7d,full,scenario_3_backend,7,True,5,5,4,5.0,3,3,14,0.09411764705882353,8,85
2026-04-24T15:08:00.244335,a5f7fcdc-74da-47e5-ab47-d8a820000382,full,scenario_3_backend,8,True,5,5,4,5.0,3,3,9,0.09411764705882353,8,85
2026-04-24T15:09:28.073448,cce3718a-6290-4afb-ab70-9cf453478293,full,scenario_3_backend,9,True,5,5,5,5.0,5,5,16,0.1411764705882353,12,85
2026-04-24T15:10:59.003788,1b79ceaf-f920-4b99-b2b6-ac535b188b8d,full,scenario_3_backend,10,False,2,5,5,3.5,3,3,9,0.07058823529411765,6,85
2026-04-24T15:12:09.481687,65010781-dc2e-4788-bab4-79f57d08c307,full,scenario_3_backend,11,True,5,5,4,5.0,4,4,12,0.08235294117647059,7,85
2026-04-24T15:13:18.097798,0cdb03ea-4031-4915-99b2-722547800fe5,full,scenario_3_backend,12,True,5,5,4,5.0,4,4,16,0.1411764705882353,12,85
2026-04-24T15:14:40.647086,a39f6d78-7ecb-4cbd-829c-f802eff6ef95,full,scenario_3_backend,13,True,5,5,4,5.0,4,4,12,0.09411764705882353,8,85
2026-04-24T15:16:03.005867,c421117a-b39e-4ed9-8db7-dd5e7c072582,full,scenario_3_backend,14,True,5,5,4,5.0,4,4,12,0.10588235294117647,9,85
2026-04-24T15:17:13.278210,701edad9-fa68-40cf-b64f-e48005baf38d,full,scenario_3_backend,15,True,5,5,4,5.0,3,3,16,0.07058823529411765,6,85
