metric,full_compass_mean,full_compass_stdev,ablation_2_mean,ablation_2_stdev,delta_mean
Total Evidence Items,20.2,1.3732,15.8,6.9816,-4.4
Requirements Matched,5,0.0,4.2,1.6987,-0.8
Mean Student Level (gap items),0.1438,0.033,0.0,0.0,-0.1438
item_type:claim,14.0667,1.4376,15.8,6.9816,1.7333
item_type:coursework,5,0.0,0,0,-5
item_type:experience,1.1333,1.4573,0,0,-1.1333
gap_type:claimed_only,1.6667,0.488,4.2,1.6987,2.5333
gap_type:no_evidence,4,0.0,4.4667,1.4573,0.4667
gap_type:partial,3.3333,0.488,0,0,-3.3333
rubric:feasibility,5,0.0,5,0.0,0.0
rubric:gap_coverage,4,0.378,4.2,0.414,0.2
rubric:jit_compliance,4.0667,0.2582,4,0.0,-0.0667
rubric:level_appropriateness,5,0.0,4.8667,0.3519,-0.1333
