trial,condition,critique_iterations,satisfactory,gap_coverage,jit_compliance,feasibility,level_appropriateness,mean_rubric_score,best_critique_score,narrative_feedback_present,plan_timeline_weeks,target_weeks,num_phases,num_issues
1,full,3,False,4,5,2,5,4.0,4.25,True,16,16,5,2
1,ablation4,1,True,4,5,5,5,4.75,4.75,False,12,16,3,3
2,full,1,True,4,4,5,5,4.5,4.5,False,16,16,4,4
2,ablation4,1,False,3,3,5,5,4.0,4.0,True,16,16,4,6
3,full,3,False,3,3,5,5,4.0,4.5,True,12,16,3,6
3,ablation4,1,False,5,3,2,5,3.75,3.75,True,20,16,5,3
4,full,3,True,4,5,5,5,4.75,4.75,False,12,16,3,3
4,ablation4,1,False,4,3,2,5,3.5,3.5,True,20,16,5,5
5,full,1,True,4,4,5,5,4.5,4.5,False,16,16,4,3
5,ablation4,1,True,4,4,5,5,4.5,4.5,False,16,16,4,4
6,full,3,False,4,3,2,5,3.5,4.5,True,12,16,3,4
6,ablation4,1,False,4,3,5,5,4.25,4.25,True,16,16,4,5
7,full,1,True,4,5,5,5,4.75,4.75,False,16,16,3,3
7,ablation4,1,False,4,3,5,5,4.25,4.25,True,16,16,4,5
8,full,2,True,4,5,5,5,4.75,4.75,False,16,16,4,3
8,ablation4,1,True,4,5,5,5,4.75,4.75,False,16,16,4,2
9,full,3,False,4,4,2,5,3.75,4.25,True,16,16,3,3
9,ablation4,1,False,5,4,2,5,4.0,4.0,True,19,16,5,2
10,full,2,True,4,4,5,5,4.5,4.5,False,14,16,3,4
10,ablation4,1,False,4,3,5,5,4.25,4.25,True,16,16,4,4
11,full,2,True,4,5,5,5,4.75,4.75,False,16,16,3,2
11,ablation4,1,True,4,5,5,5,4.75,4.75,False,16,16,4,2
12,full,2,True,4,5,5,5,4.75,4.75,False,16,16,4,3
12,ablation4,1,True,4,4,5,5,4.5,4.5,False,16,16,4,3
13,full,2,True,4,5,5,5,4.75,4.75,False,12,16,3,3
13,ablation4,1,False,4,3,5,5,4.25,4.25,True,16,16,4,3
14,full,1,True,4,4,5,5,4.5,4.5,False,16,16,4,3
14,ablation4,1,False,4,3,5,5,4.25,4.25,True,16,16,4,5
15,full,2,True,4,4,5,5,4.5,4.5,False,16,16,4,3
15,ablation4,1,False,4,3,2,5,3.5,3.5,True,19,16,5,6
